407#1212,498,511
367#1084,521,505
358#1062,501,498
348#1032,502,494
386#1140,504,527
392#1162,514,525
370#1101,451,513
199#587,443,259
349#1034,502,473
361#1072,466,508
384#1135,573,504
323#958,456,449
364#1081,530,512
371#1103,450,519
371#1099,505,528
406#1202,546,512
369#1101,506,498
329#986,460,455
356#1061,528,482
56#168,514,84
348#1033,453,471
366#1087,522,507
371#1097,511,524
299#886,521,395
393#1173,516,530
353#1042,468,470
410#1212,502,539
312#929,365,470
385#1149,442,506
165#493,567,305
213#637,221,351
390#1153,536,514
395#1178,479,515
349#1039,480,489
359#1070,567,494
381#1133,544,523
371#1100,506,511
329#982,371,505
386#1149,468,507
384#1139,480,510
367#1092,507,510
291#872,301,478
314#940,323,502
366#1090,490,497
372#1104,499,520
388#1156,540,516
354#1051,520,485
389#1159,580,511
380#1127,520,513
412#1215,510,530
356#1054,512,507
376#1119,501,499
209#618,569,306
127#379,586,233
382#1132,522,519
355#1045,564,449
374#1111,545,490
348#1041,524,491
367#1086,479,506
372#1108,468,515
226#672,539,327
356#1058,541,509
364#1089,563,490
398#1179,540,523
332#990,502,443
358#1067,546,486
329#984,364,497
379#1122,499,509
372#1101,503,492
382#1134,570,513
356#1057,504,482
349#1040,516,483
363#1078,469,500
346#1025,492,490
327#971,534,451
376#1115,538,517
361#1076,532,469
377#1123,514,507
356#1058,492,507
382#1117,495,507
370#1090,442,498
365#1080,504,507
372#1110,542,518
358#1058,525,496
359#1069,464,507
370#1103,405,514
391#1162,545,517
384#1142,499,512
38#114,44,98
339#1004,540,437
383#1139,548,509
379#1119,504,508
317#944,536,471
371#1100,508,510
366#1087,486,494
384#1142,449,499
272#816,522,425
368#1090,537,515
361#1073,514,495
532#1590,543,531
