347#1032,470,481
354#1045,487,516
343#1014,528,495
329#978,468,496
353#1049,495,503
352#1054,515,511
345#1028,513,511
292#866,498,448
317#943,404,473
279#820,561,406
305#904,543,451
364#1073,501,503
316#939,466,478
327#975,547,512
285#848,503,472
356#1054,481,515
283#849,282,498
301#896,530,507
338#1002,465,518
343#1019,485,500
350#1044,513,497
319#951,379,513
314#931,388,491
348#1042,562,504
331#987,423,477
306#918,306,517
350#1040,517,484
364#1078,457,512
335#986,531,497
284#843,497,437
338#1004,412,503
306#908,523,447
302#900,558,461
281#834,496,458
347#1030,422,501
338#1002,504,503
327#968,444,493
261#772,551,384
337#1001,487,524
315#944,356,519
326#964,463,505
308#920,494,479
330#982,513,511
350#1048,398,510
361#1076,500,509
333#979,482,502
368#1092,499,515
235#697,431,353
344#1019,583,477
343#1021,397,506
336#999,487,511
320#954,607,502
337#997,519,520
350#1044,426,521
342#1013,492,505
333#984,525,503
339#1008,529,463
295#878,499,459
277#825,328,428
313#931,434,460
389#1157,558,506
364#1088,581,511
372#1110,454,490
383#1138,482,503
404#1199,507,512
330#983,544,494
329#978,412,493
337#1002,516,499
353#1054,493,506
336#997,442,501
361#1069,500,512
257#761,378,421
348#1033,433,512
367#1083,521,503
308#919,560,464
342#1013,521,499
302#899,533,449
312#926,522,458
326#968,497,472
223#669,225,413
323#959,424,505
361#1069,511,508
355#1058,496,507
331#983,472,482
356#1058,510,512
336#999,491,499
346#1031,539,503
294#872,459,462
372#1103,487,536
339#1004,484,472
270#794,331,423
332#988,504,500
144#426,399,237
350#1039,486,500
351#1049,512,514
308#913,522,448
319#943,472,470
297#890,556,477
176#523,571,289
512#1532,516,512
