271#801,513,491
199#581,565,495
245#722,598,489
224#662,464,415
178#533,617,506
189#561,569,432
215#641,605,502
160#478,542,486
237#700,383,486
240#715,540,506
238#708,576,478
202#599,290,420
153#458,378,330
189#558,584,402
162#482,483,348
268#788,457,505
250#743,358,456
153#457,252,345
220#654,272,489
145#434,591,348
269#798,504,502
249#734,547,486
247#725,479,489
188#563,484,448
242#713,529,487
231#680,529,484
201#597,374,424
188#560,633,435
107#320,538,360
263#778,526,500
243#724,509,499
113#338,563,373
236#691,460,493
260#772,737,518
238#698,420,491
227#671,515,491
260#775,523,510
57#171,428,188
247#738,650,500
222#663,586,509
141#423,613,365
101#303,622,290
262#775,480,488
259#766,436,507
233#695,433,503
233#691,469,453
263#779,537,506
243#720,498,505
93#277,458,242
268#788,483,492
287#861,315,473
150#443,529,329
263#770,483,505
225#671,562,483
148#443,576,429
258#764,528,507
262#767,393,492
179#532,510,432
145#432,533,328
254#749,302,534
221#658,648,500
249#733,519,504
245#720,408,495
295#865,552,496
199#590,647,424
232#690,423,461
284#838,443,511
218#642,520,473
90#269,432,222
249#738,558,508
252#754,502,508
264#778,462,495
223#658,389,481
238#708,482,501
227#676,586,491
198#587,525,441
64#192,553,188
216#640,612,503
247#726,466,448
224#663,580,478
241#712,559,510
260#777,487,511
254#752,430,487
259#773,392,507
181#540,644,411
180#537,407,392
205#610,279,496
186#558,207,501
238#711,637,508
245#726,629,505
184#546,282,387
234#695,559,498
247#739,602,505
220#660,491,503
263#778,465,514
237#702,424,503
178#530,679,397
227#675,596,499
256#758,396,503
508#1521,521,509
