415#1235,514,502
413#1235,443,515
363#1083,374,465
396#1180,402,519
364#1088,435,475
410#1223,494,504
398#1182,498,477
410#1223,531,512
422#1257,543,492
429#1275,520,513
369#1104,544,486
427#1272,520,515
404#1200,456,508
374#1122,374,498
403#1204,520,471
416#1241,514,513
329#981,538,405
412#1222,480,491
291#869,296,384
392#1167,538,498
424#1264,470,504
357#1067,374,463
431#1280,522,514
401#1197,415,515
427#1263,476,518
415#1240,491,510
447#1328,535,532
331#987,507,414
403#1203,443,499
387#1156,416,506
417#1247,482,513
394#1176,480,494
269#807,278,402
359#1073,528,436
433#1287,473,522
420#1256,518,517
453#1344,550,531
357#1066,468,460
413#1226,528,505
417#1241,508,502
421#1260,522,505
348#1039,439,448
380#1136,402,511
418#1248,548,513
434#1285,533,511
366#1091,522,449
402#1192,498,505
424#1260,497,521
378#1129,495,465
405#1205,475,498
395#1173,436,493
173#519,541,274
430#1280,550,502
375#1118,424,487
436#1296,486,528
423#1261,523,517
400#1192,582,492
337#1007,471,413
420#1246,507,505
406#1208,499,497
410#1226,554,499
439#1313,538,524
415#1233,477,511
428#1271,524,531
398#1192,441,508
344#1029,379,454
370#1100,541,471
439#1306,524,519
420#1249,594,509
397#1184,515,475
279#836,305,398
408#1222,568,505
411#1225,553,509
424#1257,554,533
371#1104,558,500
385#1151,555,492
418#1245,568,489
423#1261,517,515
436#1295,557,512
421#1255,487,509
438#1301,555,514
378#1128,484,478
266#797,300,501
341#1010,495,510
319#946,520,513
218#642,529,375
342#1012,512,490
311#918,520,510
263#776,551,503
403#1205,474,491
253#743,552,491
93#269,603,510
323#961,535,453
201#593,535,496
356#1065,501,524
440#1315,520,529
86#247,645,507
212#628,737,476
475#1424,504,474
