186#547,392,502
248#724,537,488
190#560,452,488
242#718,496,428
120#358,721,327
259#769,445,495
154#457,428,449
93#275,698,490
183#543,460,452
276#819,424,502
212#627,496,497
198#591,582,433
239#705,421,496
209#625,576,500
253#754,401,495
238#701,365,508
100#300,726,405
264#786,445,503
223#667,371,503
231#681,348,489
247#736,468,503
253#748,392,515
224#665,524,473
241#719,427,501
74#220,532,224
203#602,358,506
226#676,394,457
148#440,426,406
58#173,540,218
257#757,516,502
247#730,418,504
216#641,556,441
155#462,590,316
165#490,463,393
177#525,404,462
23#68,531,40
241#714,366,526
226#672,479,477
233#684,600,468
53#158,556,90
216#641,393,465
226#674,405,471
213#631,459,432
224#667,465,450
70#210,429,271
234#699,429,504
216#636,496,415
237#705,535,496
28#84,569,116
236#696,502,501
168#500,232,430
193#574,616,449
198#580,501,425
215#635,393,468
253#741,548,501
227#676,573,507
237#702,408,498
27#81,450,70
271#799,509,502
213#631,622,507
223#666,561,501
217#644,501,501
241#718,313,510
231#689,281,514
120#352,475,299
209#616,589,492
219#651,457,482
233#688,547,511
248#733,536,498
226#671,432,466
229#678,632,500
109#327,302,321
244#720,364,465
165#495,639,496
280#831,432,488
247#737,419,506
242#722,534,510
116#345,635,268
206#606,372,442
83#248,129,226
189#564,222,444
202#599,283,509
233#681,484,499
208#622,577,492
225#671,493,474
94#278,461,193
255#759,434,500
246#728,482,499
264#785,589,496
189#556,471,468
199#580,430,433
213#632,569,481
112#336,639,452
276#821,498,501
232#685,433,490
205#609,492,478
246#720,603,513
163#488,205,493
244#729,554,506
503#1506,509,506
