334#981,509,468
361#1069,523,499
239#713,463,364
350#1042,512,488
365#1089,494,506
362#1072,532,492
338#1010,555,477
60#180,61,138
376#1119,493,511
345#1027,424,503
292#865,512,387
309#921,370,475
367#1085,556,511
310#922,407,445
368#1096,475,506
380#1123,531,519
106#317,496,185
380#1122,499,506
339#998,524,461
360#1064,520,504
327#976,448,456
387#1145,496,518
306#914,542,466
352#1051,547,510
339#1009,553,494
292#870,293,491
391#1158,514,513
314#934,364,473
365#1087,405,513
336#1002,554,508
141#421,142,289
301#894,520,442
301#899,413,446
301#893,401,508
351#1045,425,511
359#1070,498,485
303#906,446,448
345#1022,547,495
361#1073,501,511
325#972,360,488
334#989,548,501
353#1048,517,503
323#963,528,444
247#730,517,359
375#1112,506,510
369#1090,493,510
345#1030,528,510
302#899,430,428
329#978,595,457
340#1008,462,488
290#865,416,420
380#1127,506,505
344#1024,501,505
363#1083,477,503
355#1056,534,526
380#1131,589,520
338#1003,560,481
381#1132,480,505
347#1040,403,500
365#1085,466,511
377#1112,572,511
371#1096,487,506
347#1031,469,496
287#852,417,427
369#1099,510,501
278#830,528,423
358#1063,573,505
329#985,569,500
372#1114,553,495
369#1097,487,520
362#1072,541,507
338#1009,411,506
355#1055,567,512
330#986,473,499
310#921,473,460
360#1068,450,522
268#798,462,396
390#1155,533,517
357#1062,528,476
361#1077,403,520
374#1112,526,522
278#823,518,454
367#1093,543,513
155#465,159,309
367#1086,492,516
349#1034,495,499
230#684,264,343
350#1038,538,475
328#977,477,501
335#997,542,506
370#1105,481,496
351#1047,533,498
398#1190,446,493
315#937,345,493
356#1054,584,504
344#1020,543,501
242#723,293,426
362#1082,471,504
370#1095,541,513
502#1502,514,501
