205#597,380,493
217#630,680,501
188#558,606,488
178#530,633,419
186#552,712,504
195#577,515,498
106#316,113,498
148#440,363,503
190#559,435,489
176#523,393,480
135#396,407,374
155#465,539,494
214#634,489,483
134#402,588,398
172#510,601,408
183#545,335,479
62#185,526,233
196#583,569,464
165#488,568,499
166#492,488,493
12#36,704,45
233#696,450,508
170#503,494,507
155#461,490,459
138#404,451,316
134#397,578,380
164#491,267,476
205#609,367,497
190#561,405,492
218#653,243,504
188#557,448,499
199#584,679,499
199#586,456,477
137#402,607,375
138#414,185,456
130#384,525,333
154#458,453,389
190#568,409,496
142#421,451,487
237#700,610,496
153#448,584,424
224#660,744,498
157#468,496,374
160#472,288,349
195#580,648,431
214#628,600,500
164#488,439,481
157#469,284,481
205#608,489,490
228#680,516,509
195#581,623,466
215#632,622,504
199#590,465,449
191#566,317,508
220#650,451,491
25#72,61,81
191#571,606,478
141#420,618,479
207#613,417,494
14#42,578,27
197#579,518,482
205#609,564,507
178#529,557,507
216#637,506,501
152#440,496,377
193#566,444,503
185#548,394,490
203#599,395,504
86#256,96,472
218#648,590,489
147#437,469,334
206#612,550,494
169#506,613,400
125#375,236,504
194#574,277,512
192#571,459,507
203#594,611,501
174#515,370,483
179#537,713,462
125#370,556,329
201#601,710,488
190#561,521,504
184#549,506,434
187#556,666,461
202#602,341,489
178#529,485,500
210#625,543,502
89#266,483,266
195#580,535,492
190#566,553,491
213#631,341,503
88#263,663,311
129#387,611,417
221#649,573,500
206#617,620,507
194#578,247,504
121#356,521,308
218#643,466,515
201#601,273,498
47#140,51,52
