243#707,393,501
197#576,474,499
246#730,572,506
214#638,602,470
215#645,791,484
233#691,362,496
233#683,533,515
206#607,513,491
92#275,609,345
225#666,421,504
247#727,552,489
194#573,541,449
215#643,631,488
138#412,414,411
210#626,656,480
110#324,399,309
224#667,260,497
177#526,462,435
195#578,532,446
195#577,257,489
81#243,382,234
110#325,498,278
213#630,587,471
197#584,552,436
201#600,339,521
212#627,347,510
174#517,375,449
248#734,508,496
110#330,333,291
262#773,613,492
180#538,415,456
212#628,567,465
226#670,568,495
282#842,345,529
116#345,446,270
151#450,544,362
173#513,684,438
180#526,423,402
201#592,275,485
96#288,536,208
108#323,475,260
215#641,409,478
110#326,384,308
160#471,424,402
209#619,562,475
155#464,166,501
172#514,212,418
165#492,469,433
206#609,388,503
206#615,575,516
228#679,257,494
219#651,580,506
209#617,469,470
200#586,621,511
202#598,387,466
138#413,340,392
228#679,553,486
243#718,443,504
116#346,404,270
164#489,405,408
216#642,336,503
224#662,357,500
214#641,347,502
172#512,581,466
210#622,394,494
175#523,633,465
211#629,470,431
243#712,456,503
204#602,394,473
181#536,606,463
224#665,465,493
193#571,475,488
65#194,494,199
193#573,319,503
220#652,490,508
194#575,450,502
208#614,509,464
186#552,248,479
221#658,688,505
236#705,492,476
238#704,538,498
168#499,609,427
193#579,628,498
187#543,592,466
217#646,561,491
228#667,561,506
250#738,648,501
89#260,517,224
175#518,420,390
267#785,601,508
217#638,522,454
204#598,618,487
175#518,487,434
169#505,666,437
194#573,536,495
208#617,668,510
193#573,247,496
179#533,377,384
174#519,319,454
319#957,321,319
