276#811,572,482
276#822,584,515
303#906,534,498
284#842,454,500
124#369,162,285
258#767,408,452
272#814,629,501
262#778,518,450
258#768,361,478
265#790,415,483
172#513,474,336
263#782,499,474
261#780,406,475
325#960,526,498
288#853,533,506
253#755,608,476
222#662,606,437
221#662,555,493
97#288,260,257
251#749,668,486
279#829,591,503
321#948,423,519
291#859,480,494
297#882,549,511
215#641,662,458
231#689,325,457
319#945,570,507
286#848,525,491
269#793,513,502
283#844,414,510
295#878,593,503
286#852,420,511
26#76,583,62
276#815,550,459
190#566,586,293
258#769,308,481
42#126,536,146
339#992,526,542
291#859,566,509
230#685,482,407
302#891,509,497
310#915,563,501
290#861,627,501
279#830,370,505
294#870,451,491
290#859,517,508
312#921,554,526
229#684,579,446
297#883,617,509
290#855,496,499
270#803,349,482
188#556,514,370
217#646,534,420
179#533,236,337
271#806,414,503
204#606,279,363
289#861,458,496
273#817,618,504
277#819,460,499
221#663,240,473
333#974,500,529
309#916,523,503
294#877,472,503
297#880,565,505
286#845,544,499
281#837,456,497
115#342,498,272
309#911,577,504
303#896,406,509
287#850,592,476
298#880,516,508
30#89,483,57
261#776,600,486
303#900,494,512
294#878,474,502
131#389,528,285
242#721,554,424
295#873,484,515
301#890,587,515
224#668,555,401
291#854,582,498
294#876,572,508
209#615,472,387
256#757,441,463
291#861,435,491
254#752,449,459
268#797,613,468
251#746,515,440
257#764,530,498
181#539,206,385
236#702,476,461
296#870,517,507
246#735,476,412
235#697,524,414
240#713,552,442
314#920,564,496
299#879,588,510
281#837,647,460
279#826,496,470
446#1336,463,445
