357#1057,518,516
242#707,546,503
293#859,536,509
199#592,434,355
87#259,584,241
302#896,502,515
116#339,617,242
248#732,366,495
247#734,366,492
299#877,496,502
204#602,441,345
240#715,292,409
120#360,481,297
289#852,516,487
282#845,500,495
266#789,392,479
282#837,460,494
240#720,261,501
186#554,514,415
245#722,375,413
177#530,486,329
61#183,517,214
270#800,502,470
261#774,495,463
296#883,542,502
270#799,567,482
174#521,495,359
296#879,347,509
244#729,357,472
217#648,550,455
293#871,455,498
279#825,498,498
235#697,643,425
262#779,483,488
215#638,358,401
305#898,572,508
270#805,546,513
285#845,533,505
275#819,378,503
182#543,413,359
309#914,530,508
257#764,574,474
180#537,398,381
104#308,578,198
284#838,517,487
315#931,534,507
255#760,280,504
304#892,512,504
275#811,535,504
313#920,539,521
294#869,510,507
83#245,399,151
227#676,237,508
151#452,458,333
142#423,390,291
280#835,533,493
287#849,475,516
281#835,455,506
273#815,371,500
301#896,515,510
246#729,491,463
123#367,123,260
292#863,526,515
282#830,504,492
268#783,473,484
300#884,509,502
286#843,451,515
266#795,273,497
311#915,467,509
218#648,588,466
298#881,475,472
286#850,459,513
175#525,412,358
317#936,490,500
270#800,412,499
272#805,520,492
289#852,484,508
314#930,567,508
266#795,622,503
285#844,589,497
270#806,302,506
283#837,566,508
287#847,440,509
293#858,481,504
267#797,380,505
298#881,567,515
260#770,305,504
287#853,325,496
287#854,515,503
235#700,538,464
289#855,436,520
291#853,447,483
118#347,486,244
266#794,521,484
220#648,518,390
70#210,577,187
273#799,422,490
310#907,485,511
263#778,464,447
414#1241,419,413
