380#1137,386,510
420#1246,478,502
418#1243,524,500
421#1251,500,524
368#1091,496,454
384#1144,476,463
396#1175,487,498
405#1205,545,512
368#1095,524,457
430#1285,491,515
408#1217,497,513
401#1194,444,504
392#1162,524,497
188#560,488,238
388#1149,514,491
366#1094,381,508
422#1260,478,520
410#1218,487,515
393#1176,512,482
401#1189,530,508
411#1222,529,503
391#1171,426,509
421#1254,522,519
405#1204,468,510
406#1208,488,505
359#1067,501,450
380#1127,415,506
409#1212,467,511
422#1249,520,513
377#1125,381,508
330#979,494,421
401#1191,545,501
325#970,532,410
319#954,329,448
162#484,535,207
265#785,501,331
431#1280,500,532
391#1161,532,496
428#1268,512,517
439#1301,490,531
346#1030,474,455
415#1225,499,514
354#1052,418,428
375#1118,536,483
261#777,480,363
421#1250,518,511
392#1169,520,496
354#1059,443,455
292#871,309,380
402#1196,431,499
395#1178,521,494
436#1297,527,517
400#1191,472,499
398#1186,481,497
405#1206,511,508
401#1193,515,494
402#1196,480,515
203#607,482,263
409#1215,510,501
421#1256,446,521
366#1092,498,454
379#1128,544,487
396#1181,449,498
382#1139,455,486
298#889,499,365
388#1162,393,519
439#1299,500,525
390#1167,398,498
387#1156,519,504
400#1195,527,511
388#1152,458,475
429#1280,489,516
408#1212,510,491
408#1218,483,511
144#430,143,246
391#1162,460,495
420#1243,548,510
401#1195,497,505
404#1203,515,507
400#1190,487,507
412#1227,492,506
385#1147,480,508
413#1217,513,507
441#1306,504,534
425#1262,479,506
419#1236,548,503
195#585,194,322
387#1151,534,493
387#1152,514,485
439#1305,521,515
283#840,536,359
377#1125,420,500
343#1023,513,450
413#1231,478,509
401#1197,431,511
391#1168,413,519
367#1093,403,497
402#1197,462,512
393#1170,451,489
398#1187,400,398
