436#1109,517,507
359#879,528,512
383#938,495,491
382#953,519,519
370#911,594,517
291#763,525,484
347#883,563,508
380#960,460,505
150#413,518,304
326#813,520,453
394#1024,529,530
442#1134,513,541
391#986,511,502
226#668,225,506
386#976,482,504
328#817,527,482
405#1030,514,513
371#946,497,518
356#907,456,506
332#867,422,507
334#881,565,508
345#894,557,504
400#1004,491,513
338#856,556,506
304#816,571,514
313#817,570,495
312#840,463,511
251#711,267,483
412#1032,530,529
352#919,546,521
320#857,361,477
366#952,501,521
417#1062,559,525
350#931,460,506
356#911,499,503
298#790,642,502
407#1031,484,511
334#891,371,517
355#936,547,504
349#925,542,518
374#955,448,523
366#936,546,479
346#906,504,483
398#1013,561,496
370#947,539,514
358#919,532,511
233#676,560,489
253#697,548,449
251#709,377,397
252#721,648,504
353#905,528,501
423#1067,566,547
429#1068,516,540
372#960,530,501
393#997,493,510
331#881,492,478
79#227,444,192
326#883,407,506
401#1004,534,501
354#890,491,508
317#855,459,498
312#839,392,510
303#831,362,504
340#876,544,494
344#881,454,475
380#976,470,513
370#958,561,508
307#856,349,490
321#881,532,506
430#1094,509,520
309#799,569,468
366#919,508,494
329#890,461,500
289#761,508,420
349#920,547,517
356#939,489,508
213#596,582,392
366#923,506,495
228#660,549,476
103#286,575,258
399#1033,500,501
337#871,462,499
333#887,514,508
351#910,482,478
379#971,509,511
399#1012,538,524
320#848,585,506
346#913,421,508
356#920,497,518
323#852,582,491
99#294,608,272
377#963,574,516
361#910,503,488
384#957,507,505
368#940,440,514
382#954,537,490
196#511,544,319
370#948,526,509
283#816,408,502
508#1502,517,507
