380#925,530,510
273#675,568,502
394#978,574,555
331#809,497,494
242#622,619,487
221#569,508,453
203#544,265,468
61#156,295,493
265#666,500,509
329#834,511,511
111#333,110,491
387#925,522,519
229#582,453,444
281#724,516,505
193#541,591,444
135#378,258,382
208#553,438,495
255#657,357,506
369#951,487,513
339#860,538,488
169#488,667,501
264#677,502,503
167#429,358,329
267#705,429,511
120#302,558,229
141#349,386,504
315#783,520,516
352#893,485,508
330#823,591,510
303#782,604,487
324#810,478,514
315#801,503,507
238#658,550,507
200#539,534,472
307#792,359,528
295#800,368,499
295#777,407,502
276#711,603,514
57#157,355,132
340#866,500,528
306#777,521,515
347#893,516,517
228#610,350,449
221#588,685,510
228#638,379,506
317#779,552,502
320#815,501,511
303#797,497,496
246#648,298,464
207#589,226,501
300#762,521,494
297#776,528,505
287#721,403,469
276#729,536,514
233#621,297,468
339#876,508,504
250#672,442,502
305#766,450,470
285#729,511,508
274#677,449,480
339#858,528,539
236#631,527,504
343#874,489,512
333#827,558,513
265#716,348,507
294#740,447,516
260#676,451,496
238#638,564,458
337#817,535,503
270#693,540,383
419#1182,539,505
422#1229,516,505
348#852,489,522
284#728,330,505
277#762,349,505
345#867,473,508
223#602,350,465
38#103,95,133
335#819,567,514
246#671,371,514
305#774,600,513
271#713,517,498
278#713,570,495
210#557,491,429
256#674,559,487
285#742,538,508
317#811,453,521
317#800,589,500
326#796,558,518
157#438,365,508
253#721,668,505
257#686,563,508
147#417,553,334
227#545,513,493
233#574,515,505
209#541,488,435
283#722,437,505
283#690,509,502
112#316,404,408
512#1518,512,511
