352#1054,351,508
469#1276,514,504
505#1379,535,548
494#1329,523,521
445#1201,522,483
470#1274,528,510
477#1292,501,525
490#1326,531,517
466#1268,498,510
444#1212,503,499
472#1298,504,515
456#1235,478,519
474#1281,507,508
433#1202,494,500
454#1233,524,492
450#1234,532,507
500#1327,529,530
473#1283,521,502
500#1350,536,547
441#1218,498,513
489#1333,527,516
452#1239,553,505
457#1251,505,501
451#1239,536,509
449#1216,498,496
388#1097,531,464
427#1177,490,481
457#1255,483,513
348#960,529,403
315#891,411,387
482#1313,505,508
465#1282,513,517
463#1251,504,505
460#1259,517,509
426#1194,489,514
467#1293,524,514
373#1059,445,436
471#1301,530,515
67#179,509,74
358#1038,531,451
498#1367,515,535
485#1313,509,523
424#1182,453,492
429#1200,524,504
455#1248,495,504
452#1236,528,490
444#1208,493,501
448#1242,483,512
456#1240,492,507
439#1207,500,495
460#1248,527,488
449#1217,475,508
455#1264,499,499
480#1311,519,521
470#1275,499,534
388#1040,415,437
469#1283,490,518
479#1291,525,514
424#1196,543,519
392#1138,407,508
453#1275,497,502
346#1015,346,501
432#1225,515,513
415#1159,528,481
491#1348,514,538
421#1160,526,468
327#918,347,409
504#1371,529,546
482#1301,526,516
446#1225,480,514
439#1210,464,511
468#1267,501,497
456#1252,511,500
421#1205,505,507
341#953,549,410
472#1294,483,527
402#1134,429,509
448#1256,546,522
486#1324,511,518
440#1240,497,513
444#1240,479,512
456#1262,494,503
357#1027,576,447
310#914,311,439
491#1352,527,523
504#1393,530,544
476#1306,497,519
458#1275,493,524
439#1190,468,505
453#1273,512,532
499#1368,535,529
451#1248,489,516
437#1204,459,503
382#1067,421,456
451#1240,517,513
425#1194,440,513
484#1331,511,526
466#1290,490,523
465#1266,510,506
532#1528,539,534
