422#1049,507,528
327#794,547,501
377#941,499,494
388#969,518,512
294#742,625,513
310#810,604,499
347#871,462,500
318#822,524,508
319#826,579,502
354#916,476,507
382#966,548,509
288#798,376,502
295#805,571,507
388#974,534,516
333#859,506,496
329#883,406,508
361#965,417,527
342#861,536,488
369#918,552,509
287#792,320,504
404#1016,532,526
341#854,425,503
392#973,564,520
255#647,413,367
348#930,547,503
346#872,540,509
246#678,527,481
293#784,494,500
323#833,437,506
298#770,472,461
301#803,493,461
350#893,575,497
228#657,414,453
384#958,529,518
352#891,545,502
372#940,546,508
354#888,521,496
348#885,558,503
256#685,549,484
305#802,608,504
280#770,651,514
334#861,595,505
274#781,341,507
354#910,499,520
429#1075,549,548
343#875,498,498
335#856,498,504
340#889,487,502
342#870,467,504
338#864,579,511
341#869,495,508
345#899,550,513
190#550,674,500
388#969,510,516
313#794,495,473
356#929,526,508
409#1009,558,531
363#933,492,512
218#617,544,469
230#622,403,421
360#944,531,520
101#269,577,214
375#930,501,508
360#875,519,502
272#732,322,492
205#612,219,501
349#870,538,475
332#832,556,499
344#889,571,510
398#1013,483,522
393#973,520,497
297#804,507,502
360#924,523,514
364#933,541,481
294#799,368,502
355#873,531,508
341#856,545,515
358#936,516,501
309#838,510,509
357#911,539,501
291#783,409,503
345#888,507,507
348#910,541,502
308#806,459,457
293#739,543,420
376#936,517,516
328#827,501,496
313#815,611,508
321#842,407,508
385#988,540,523
368#931,544,504
349#874,504,510
373#947,565,517
358#909,448,510
322#837,501,500
384#949,525,506
287#731,476,448
370#953,564,505
347#894,585,485
508#1469,525,507
