141.0,128,102
79.0,39,76
89.0,80,63
116.0,81,110
184.0,163,118
138.0,129,72
81.0,52,92
116.0,107,96
123.0,91,104
129.0,120,95
114.0,114,105
108.0,79,102
76.0,62,55
134.0,136,84
124.0,109,89
111.0,128,86
127.0,114,84
135.0,107,111
144.0,130,94
128.0,119,77
108.0,109,77
147.0,132,90
135.0,111,94
105.0,108,106
144.0,152,102
129.0,137,65
89.0,63,96
84.0,78,91
138.0,143,101
85.0,79,93
116.0,68,103
131.0,126,106
111.0,81,104
123.0,110,97
119.0,120,41
139.0,120,98
140.0,125,101
51.0,51,34
104.0,57,94
120.0,90,97
143.0,125,108
92.0,66,83
83.0,57,91
147.0,140,76
129.0,130,46
134.0,152,98
141.0,116,103
84.0,77,58
151.0,130,105
120.0,109,94
96.0,61,104
164.0,153,94
91.0,75,87
127.0,107,101
138.0,131,99
98.0,95,69
186.0,178,81
102.0,105,33
112.0,88,89
81.0,69,106
164.0,174,53
106.0,120,95
120.0,122,40
105.0,92,98
131.0,131,68
114.0,103,89
76.0,95,69
76.0,56,76
99.0,95,78
113.0,109,70
89.0,87,45
80.0,59,75
126.0,99,99
140.0,129,101
115.0,71,104
119.0,123,35
112.0,96,99
114.0,99,87
114.0,112,62
81.0,65,80
81.0,51,85
91.0,57,87
98.0,51,97
124.0,111,78
137.0,118,100
108.0,59,101
102.0,69,99
146.0,149,48
133.0,129,87
193.0,184,105
166.0,160,88
134.0,123,85
120.0,88,99
134.0,99,112
163.0,176,66
123.0,100,100
107.0,101,76
120.0,98,97
131.0,104,101
34.0,122,105
