111.0,63,99
97.0,63,90
126.0,91,103
191.0,200,103
85.0,72,59
97.0,72,91
88.0,36,83
148.0,132,89
129.0,124,107
92.0,66,93
142.0,145,54
103.0,76,93
105.0,89,69
181.0,161,104
107.0,87,98
147.0,125,100
68.0,51,54
117.0,45,121
128.0,89,112
139.0,123,96
124.0,121,108
106.0,57,102
163.0,152,84
192.0,192,83
135.0,116,95
114.0,96,83
86.0,12,86
198.0,188,100
127.0,94,102
153.0,146,78
100.0,23,107
105.0,49,101
130.0,103,99
92.0,56,96
115.0,82,97
108.0,68,97
148.0,126,95
70.0,62,42
135.0,105,106
83.0,56,104
156.0,145,91
140.0,142,96
110.0,29,109
74.0,51,95
135.0,135,102
102.0,81,76
155.0,156,28
108.0,89,104
114.0,66,103
57.0,55,47
110.0,108,71
171.0,152,107
139.0,137,94
150.0,151,74
104.0,19,108
118.0,58,111
141.0,154,96
128.0,127,97
238.0,232,90
92.0,4,92
104.0,25,104
119.0,96,91
105.0,83,89
108.0,99,79
106.0,61,94
125.0,96,99
100.0,70,85
169.0,161,69
140.0,117,104
101.0,98,40
105.0,80,93
106.0,76,90
163.0,177,108
83.0,90,68
108.0,76,92
91.0,22,107
57.0,16,57
82.0,79,106
99.0,34,96
232.0,242,94
135.0,119,103
60.0,56,31
165.0,155,98
115.0,73,102
276.0,286,107
192.0,187,87
93.0,75,75
121.0,81,107
88.0,58,91
111.0,54,106
118.0,113,97
114.0,100,72
138.0,111,105
46.0,35,39
113.0,69,103
149.0,152,99
159.0,144,95
123.0,86,102
70.0,72,28
122.0,127,102
