104.0,90,71
114.0,74,100
96.0,60,83
126.0,111,77
128.0,105,103
120.0,115,60
83.0,76,79
239.0,244,106
134.0,132,65
131.0,117,81
92.0,91,100
98.0,34,100
106.0,37,101
94.0,52,100
99.0,61,99
152.0,148,105
98.0,78,85
115.0,49,110
120.0,81,102
80.0,19,80
170.0,146,110
111.0,90,85
158.0,153,82
105.0,86,84
97.0,70,95
101.0,90,63
127.0,97,109
132.0,101,102
105.0,80,91
139.0,127,76
132.0,148,96
155.0,163,40
136.0,125,77
93.0,27,91
162.0,159,53
188.0,172,105
93.0,39,93
87.0,72,101
166.0,185,111
55.0,31,68
93.0,70,83
95.0,32,99
81.0,31,83
78.0,43,74
194.0,186,87
82.0,94,68
151.0,111,140
139.0,119,97
130.0,121,76
125.0,130,61
152.0,154,97
121.0,90,96
120.0,146,107
132.0,134,77
143.0,109,105
114.0,14,119
148.0,160,88
136.0,79,126
67.0,15,71
116.0,74,104
110.0,8,110
195.0,198,89
107.0,29,111
182.0,177,67
115.0,72,101
103.0,46,98
137.0,107,104
149.0,156,94
119.0,101,100
142.0,117,102
131.0,93,108
109.0,37,110
80.0,46,101
149.0,146,49
106.0,23,111
124.0,138,65
97.0,48,91
134.0,116,107
111.0,63,100
110.0,61,102
132.0,123,67
115.0,44,112
114.0,63,106
122.0,93,98
96.0,89,51
112.0,112,95
72.0,48,63
92.0,69,98
129.0,124,66
170.0,155,97
158.0,151,102
99.0,14,99
143.0,114,108
89.0,84,44
133.0,118,80
106.0,58,108
119.0,84,100
126.0,110,96
152.0,143,121
97.0,103,103
