59.0,11,68
140.0,115,99
121.0,114,68
136.0,109,101
129.0,110,101
89.0,92,95
105.0,66,88
98.0,36,105
126.0,114,105
137.0,130,69
123.0,91,95
91.0,20,92
142.0,130,77
94.0,106,67
174.0,197,111
136.0,120,102
87.0,35,94
178.0,167,90
162.0,149,96
101.0,88,69
167.0,156,89
150.0,123,107
146.0,127,102
101.0,73,83
135.0,136,99
117.0,100,85
99.0,78,98
167.0,155,88
179.0,180,75
116.0,101,76
118.0,113,59
105.0,88,107
130.0,135,73
175.0,178,98
149.0,128,102
163.0,155,68
122.0,89,97
151.0,122,111
133.0,140,104
115.0,90,101
115.0,35,117
145.0,144,42
133.0,115,104
172.0,153,102
227.0,214,105
150.0,139,79
124.0,118,83
94.0,52,95
180.0,168,98
151.0,134,98
152.0,142,86
127.0,103,95
105.0,68,104
53.0,31,48
139.0,109,104
117.0,78,117
121.0,115,60
122.0,101,91
141.0,130,89
125.0,137,85
134.0,143,97
138.0,127,91
147.0,147,63
109.0,36,119
154.0,131,111
83.0,32,100
122.0,92,96
88.0,15,88
157.0,149,98
87.0,42,82
163.0,159,59
115.0,73,102
110.0,83,96
81.0,69,51
133.0,118,89
93.0,33,91
83.0,54,76
98.0,98,20
123.0,93,98
103.0,82,76
205.0,229,99
78.0,59,60
78.0,74,95
75.0,32,85
141.0,121,98
116.0,102,72
132.0,105,99
89.0,45,83
136.0,141,119
140.0,139,101
156.0,189,38
173.0,156,103
147.0,178,92
137.0,116,96
81.0,49,93
116.0,62,109
111.0,118,77
125.0,122,65
123.0,87,102
130.0,102,100
