409#1022,522,511
297#719,514,509
345#849,517,510
337#829,561,489
301#761,435,496
272#702,565,504
240#649,441,506
255#672,356,445
358#913,558,531
35#96,423,147
273#704,518,498
299#773,439,511
316#817,487,508
297#778,435,509
83#218,487,163
332#837,552,479
293#740,509,447
294#783,553,499
354#914,469,519
309#815,528,511
311#771,456,519
201#596,206,500
306#776,400,511
321#845,656,517
356#910,565,528
46#132,627,132
322#827,474,506
332#840,454,505
388#967,488,521
330#867,524,511
74#192,600,154
207#570,367,408
349#874,505,495
236#646,544,458
337#874,486,504
301#769,633,498
330#830,498,511
274#710,471,442
326#819,579,482
297#762,455,503
306#770,511,490
359#907,570,518
320#815,516,501
257#739,627,507
277#762,501,500
340#890,568,503
297#755,567,437
334#856,509,513
378#939,536,514
324#843,549,509
351#843,521,525
349#888,430,540
317#816,398,507
206#571,646,476
248#666,539,474
286#779,559,508
329#843,533,509
334#812,509,485
379#955,503,508
270#697,543,489
299#785,611,503
268#727,430,503
346#861,557,481
333#836,533,514
267#708,519,499
327#811,501,468
319#810,448,509
314#812,411,508
325#811,444,501
358#913,597,535
281#747,534,507
320#802,392,518
270#721,544,507
188#490,514,403
318#812,441,512
359#903,492,510
306#806,457,485
298#770,572,497
387#947,547,509
325#825,512,499
367#914,530,516
315#780,544,503
305#791,576,494
313#797,481,504
202#563,422,438
263#725,620,508
299#756,476,487
298#788,456,507
307#803,608,518
233#672,630,505
288#751,403,510
346#855,523,500
347#886,463,496
315#791,493,500
345#852,556,510
291#754,416,512
373#911,520,502
295#743,604,470
325#866,433,512
483#1383,488,482
