422#1040,532,542
403#1035,499,505
390#1006,537,512
371#942,528,502
388#1010,517,513
353#952,388,501
372#994,487,468
373#970,583,497
412#1094,506,512
363#1000,421,510
341#911,385,507
414#1064,507,495
336#894,578,505
374#961,425,516
140#395,323,249
401#1043,529,502
365#973,499,507
392#1045,452,513
397#1049,494,500
390#1045,497,520
406#1034,529,500
389#1011,514,515
386#993,444,514
432#1082,520,500
367#959,498,474
341#892,513,473
398#1048,496,503
390#1019,505,512
401#1041,478,517
350#931,541,512
337#933,622,514
52#155,51,143
415#1051,531,508
398#1038,589,511
396#1038,553,508
374#965,563,501
384#999,529,518
370#958,534,501
432#1093,496,506
418#1100,530,523
377#992,517,503
431#1116,493,521
353#957,572,505
419#1080,517,528
440#1126,556,535
388#1024,505,511
348#955,367,510
391#1033,513,501
417#1079,466,525
378#1004,506,496
407#1054,478,510
374#993,565,506
387#1016,532,498
393#1028,520,509
255#749,272,476
391#1008,472,510
421#1091,492,516
421#1073,509,510
397#1030,533,515
243#655,514,354
376#1027,425,518
400#1032,481,498
397#1016,474,508
385#1032,528,506
437#1120,512,514
400#1080,498,510
433#1123,485,534
331#886,541,505
421#1054,502,511
441#1135,521,525
376#1001,513,502
419#1093,515,510
338#880,470,482
414#1077,497,523
376#998,430,512
361#969,483,500
430#1104,532,503
371#991,423,510
425#1110,520,512
375#992,435,507
380#991,542,514
411#1051,504,503
351#932,488,499
399#1054,558,515
376#980,512,466
425#1095,511,514
346#885,529,432
423#1163,453,520
371#1002,493,506
323#889,347,513
386#1004,518,518
407#1041,506,505
367#983,422,510
454#1142,533,523
268#724,531,383
391#1039,516,514
368#978,487,492
118#347,124,276
381#1000,459,512
508#1457,509,508
